116,0.000347,4,1,5,26.98922445,#686868
117,0.000094,0,1,1,12,#737373
118,0.000094,0,1,1,12,#737373
119,0.00016,2,2,4,16.84653766,#6f6f6f
120,0.000094,0,2,2,12,#737373
121,0.000196,1,0,1,19.10299132,#6e6e6e
122,0.00012,1,1,2,14.05012222,#717171
123,0.000126,1,4,5,14.49378211,#717171
124,0.000315,4,0,4,25.4733405,#696969
125,0.000133,1,2,3,14.99953606,#717171
126,0.000135,1,0,1,15.14182252,#717171
127,0.000135,1,0,1,15.14182252,#717171
128,0.000135,1,0,1,15.14182252,#717171
129,0.000246,3,5,8,21.94698647,#6c6c6c
130,0.000094,0,2,2,12,#737373
131,0.00012,1,2,3,14.05012222,#717171
132,0.000107,1,0,1,13.05316063,#727272
133,0.000173,1,0,1,17.68543166,#6f6f6f
134,0.000207,2,0,2,19.75436804,#6d6d6d
135,0.000167,1,1,2,17.30190808,#6f6f6f
136,0.000271,1,1,2,23.27063115,#6b6b6b
137,0.00026,3,0,3,22.69530774,#6b6b6b
138,0.000525,6,0,6,34.47054205,#636363
139,0.000126,1,4,5,14.49378211,#717171
140,0.00019,2,5,7,18.74075667,#6e6e6e
141,0.000133,1,2,3,14.99953606,#717171
142,0.000094,0,2,2,12,#737373
143,0.000213,3,1,4,20.10309886,#6d6d6d
144,0.00015,1,1,2,16.18014835,#707070
145,0.00016,2,1,3,16.84653766,#6f6f6f
146,0.000209,1,1,2,19.87111101,#6d6d6d
147,0.000094,0,2,2,12,#737373
148,0.000094,0,3,3,12,#737373
149,0.000128,1,1,2,14.63954581,#717171
150,0.00016,2,1,3,16.84653766,#6f6f6f
151,0.000094,0,2,2,12,#737373
152,0.000128,1,1,2,14.63954581,#717171
153,0.000406,4,3,7,29.62784235,#666666
154,0.00029,4,3,7,24.24017204,#6a6a6a
155,0.000094,0,2,2,12,#737373
156,0.000133,1,1,2,14.99953606,#717171
157,0.000133,1,3,4,14.99953606,#717171
158,0.000094,0,1,1,12,#737373
159,0.000094,0,1,1,12,#737373
160,0.000094,0,1,1,12,#737373
161,0.000133,1,1,2,14.99953606,#717171
162,0.000258,2,0,2,22.58953496,#6b6b6b
163,0.0002,2,2,4,19.34171396,#6e6e6e
164,0.000094,0,1,1,12,#737373
165,0.000094,0,1,1,12,#737373
166,0.000133,1,1,2,14.99953606,#717171
167,0.000094,0,2,2,12,#737373
168,0.000154,2,0,2,16.44903341,#707070
169,0.000241,3,0,3,21.67510565,#6c6c6c
170,0.00012,1,3,4,14.05012222,#717171
171,0.000094,0,3,3,12,#737373
172,0.000094,0,2,2,12,#737373
173,0.000094,0,2,2,12,#737373
174,0.000133,1,3,4,14.99953606,#717171
175,0.000094,0,2,2,12,#737373
176,0.000094,0,2,2,12,#737373
177,0.000387,3,0,3,28.79818377,#676767
178,0.000094,0,3,3,12,#737373
179,0.000221,2,1,3,20.56126953,#6d6d6d
180,0.000094,0,1,1,12,#737373
181,0.000094,0,2,2,12,#737373
182,0.000123,1,0,1,14.27316966,#717171
183,0.000123,1,0,1,14.27316966,#717171
184,0.000173,2,5,7,17.68543166,#6f6f6f
185,0.000167,1,1,2,17.30190808,#6f6f6f
186,0.000094,0,2,2,12,#737373
187,0.000173,2,2,4,17.68543166,#6f6f6f
188,0.000109,1,1,2,13.20995176,#727272
189,0.000094,0,2,2,12,#737373
190,0.000094,0,2,2,12,#737373
191,0.000094,0,3,3,12,#737373
192,0.000133,1,2,3,14.99953606,#717171
193,0.000094,0,2,2,12,#737373
194,0.000094,0,3,3,12,#737373
195,0.000133,1,1,2,14.99953606,#717171
196,0.000094,0,2,2,12,#737373
197,0.00012,1,0,1,14.05012222,#717171
198,0.00016,2,4,6,16.84653766,#6f6f6f
199,0.00012,1,3,4,14.05012222,#717171
200,0.000094,0,2,2,12,#737373
201,0.000094,0,3,3,12,#737373
202,0.000094,0,2,2,12,#737373
203,0.000094,0,1,1,12,#737373
204,0.000094,0,2,2,12,#737373
205,0.000109,1,6,7,13.20995176,#727272
206,0.000109,1,1,2,13.20995176,#727272
207,0.000094,0,5,5,12,#737373
208,0.000094,0,2,2,12,#737373
209,0.000094,0,1,1,12,#737373
210,0.000332,3,1,4,26.28685674,#696969
211,0.000094,0,1,1,12,#737373
212,0.000094,0,1,1,12,#737373
213,0.000094,0,1,1,12,#737373
214,0.00016,2,0,2,16.84653766,#6f6f6f
215,0.000094,0,3,3,12,#737373
216,0.000173,2,0,2,17.68543166,#6f6f6f
217,0.00012,1,0,1,14.05012222,#717171
218,0.000094,0,3,3,12,#737373
219,0.00012,1,0,1,14.05012222,#717171
220,0.00015,1,0,1,16.18014835,#707070
221,0.000133,1,2,3,14.99953606,#717171
222,0.000094,0,2,2,12,#737373
223,0.000133,1,1,2,14.99953606,#717171
224,0.000094,0,3,3,12,#737373
225,0.000094,0,2,2,12,#737373
226,0.00016,2,0,2,16.84653766,#6f6f6f
227,0.000094,0,2,2,12,#737373
228,0.000094,0,2,2,12,#737373
229,0.000094,0,3,3,12,#737373
230,0.000094,0,2,2,12,#737373
231,0.000094,0,2,2,12,#737373
232,0.000094,0,2,2,12,#737373
233,0.000133,1,0,1,14.99953606,#717171
234,0.000094,0,2,2,12,#737373
235,0.000094,0,1,1,12,#737373
236,0.000173,1,2,3,17.68543166,#6f6f6f
237,0.000094,0,1,1,12,#737373
238,0.00048,3,0,3,32.70399923,#646464
239,0.000528,3,0,3,34.58583971,#636363
240,0.000344,3,1,4,26.84986108,#686868
241,0.000462,2,0,2,31.97662407,#656565
242,0.000396,5,1,6,29.19341166,#676767
243,0.000191,2,0,2,18.80148281,#6e6e6e
244,0.000189,2,0,2,18.67988653,#6e6e6e
245,0.000177,1,0,1,17.93779552,#6f6f6f
246,0.000717,5,0,5,41.33927895,#5e5e5e
247,0.000196,1,2,3,19.10299132,#6e6e6e
248,0.000133,1,0,1,14.99953606,#717171
249,0.000344,6,0,6,26.84986108,#686868
250,0.000094,0,2,2,12,#737373
251,0.000757,5,0,5,42.66076486,#5d5d5d
252,0.000519,4,2,6,34.23905366,#636363
253,0.000313,2,1,3,25.37634753,#696969
254,0.000504,3,0,3,33.65500504,#646464
255,0.000212,2,1,3,20.04528701,#6d6d6d
256,0.000133,1,0,1,14.99953606,#717171
257,0.000426,5,1,6,30.48250243,#666666
258,0.000234,3,0,3,21.2901703,#6c6c6c
259,0.000094,0,2,2,12,#737373
260,0.000623,5,0,5,38.09621771,#616161
261,0.000313,3,1,4,25.37634753,#696969
262,0.000173,2,1,3,17.68543166,#6f6f6f
263,0.000218,2,0,2,20.39034435,#6d6d6d
